Life_Satisfaction,Mental_Health,Ethnic_Identity,Discrimination ,Income,Age
6.0,4.0,3.0,1.0,70.001,53.0
3.0,3.0,3.0,0.0,14.9995,53.0
6.0,4.0,2.0,0.0,70.001,61.0
2.0,3.0,3.0,1.0,70.001,60.0
6.0,4.0,2.0,0.0,70.001,50.0
4.0,4.0,3.0,1.0,64.9995,74.0
4.0,2.0,3.0,1.0,14.9995,55.0
6.0,4.0,3.0,0.0,70.001,65.0
7.0,4.0,4.0,1.0,70.001,65.0
6.0,5.0,4.0,1.0,70.001,43.0
5.0,4.0,4.0,1.0,70.001,65.0
7.0,2.0,4.0,0.0,70.001,72.0
4.0,4.0,4.0,1.0,54.9995,65.0
4.0,4.0,4.0,1.0,54.9995,67.0
7.0,5.0,3.0,1.0,70.001,50.0
7.0,5.0,3.0,0.0,70.001,50.0
4.0,2.0,0.0,0.0,70.001,61.0
4.0,4.0,3.0,1.0,70.001,64.0
2.0,5.0,4.0,1.0,54.9995,63.0
5.0,4.0,2.0,0.0,70.001,56.0
2.0,2.0,4.0,0.0,70.001,62.0
6.0,5.0,4.0,0.0,70.001,60.0
6.0,3.0,3.0,0.0,70.001,56.0
7.0,4.0,4.0,0.0,70.001,50.0
7.0,5.0,3.0,0.0,4.9995,74.0
4.0,4.0,3.0,0.0,64.9995,60.0
6.0,4.0,2.0,0.0,70.001,64.0
6.0,4.0,4.0,0.0,70.001,67.0
6.0,5.0,3.0,1.0,64.9995,61.0
6.0,4.0,4.0,0.0,70.001,73.0
4.0,3.0,4.0,0.0,4.9995,70.0
7.0,4.0,4.0,0.0,70.001,76.0
7.0,5.0,3.0,1.0,70.001,50.0
6.0,4.0,4.0,1.0,64.9995,75.0
6.0,4.0,4.0,0.0,14.9995,83.0
6.0,3.0,3.0,1.0,70.001,35.0
6.0,3.0,3.0,0.0,4.9995,78.0
7.0,4.0,3.0,0.0,70.001,33.0
6.0,5.0,3.0,0.0,4.9995,35.0
6.0,5.0,3.0,0.0,14.9995,67.0
5.0,5.0,3.0,0.0,4.9995,68.0
6.0,3.0,4.0,0.0,70.001,35.0
6.0,4.0,3.0,0.0,70.001,75.0
7.0,2.0,0.0,0.0,4.9995,74.0
5.0,4.0,4.0,0.0,4.9995,25.0
5.0,3.0,3.0,1.0,70.001,41.0
3.0,3.0,3.0,1.0,4.9995,75.0
7.0,4.0,2.0,0.0,14.9995,28.0
6.0,4.0,4.0,1.0,4.9995,68.0
6.0,4.0,4.0,1.0,4.9995,58.0
5.0,4.0,4.0,0.0,70.001,32.0
5.0,4.0,3.0,0.0,70.001,40.0
6.0,4.0,4.0,0.0,70.001,32.0
6.0,5.0,4.0,0.0,4.9995,25.0
5.0,4.0,3.0,0.0,70.001,26.0
3.0,4.0,2.0,1.0,4.9995,26.0
4.0,2.0,3.0,0.0,44.9995,33.0
5.0,3.0,3.0,0.0,70.001,32.0
4.0,4.0,3.0,1.0,70.001,26.0
5.0,5.0,3.0,1.0,54.9995,27.0
5.0,3.0,3.0,0.0,64.9995,24.0
6.0,3.0,3.0,0.0,70.001,38.0
3.0,5.0,3.0,0.0,64.9995,26.0
5.0,3.0,3.0,0.0,4.9995,27.0
6.0,4.0,3.0,0.0,4.9995,24.0
4.0,5.0,4.0,0.0,70.001,33.0
6.0,2.0,4.0,0.0,14.9995,27.0
6.0,4.0,3.0,1.0,70.001,35.0
6.0,3.0,3.0,0.0,70.001,31.0
7.0,5.0,4.0,0.0,70.001,30.0
1.0,3.0,4.0,0.0,70.001,26.0
5.0,5.0,4.0,0.0,64.9995,34.0
6.0,3.0,4.0,0.0,64.9995,30.0
6.0,5.0,4.0,0.0,70.001,25.0
5.0,4.0,4.0,0.0,14.9995,24.0
6.0,5.0,4.0,0.0,54.9995,25.0
7.0,5.0,4.0,1.0,70.001,21.0
6.0,3.0,2.0,0.0,34.9995,26.0
6.0,3.0,3.0,1.0,70.001,37.0
